"species_profile.id","species_profile.binomial","species_profile.common_name","species_profile.iucn_status","species_profile.global_population","species_profile.local_abundance","species_profile.in_primary","species_profile.in_logged","species_profile.in_plantation","species_profile.animal_facts","species_profile.where_do_they_live","species_profile.habitat","species_profile.what_do_they_eat","species_profile.who_eats_them","species_profile.threatened_by","species_profile.image_link","species_profile.image_href","species_profile.image_title","species_profile.google_scholar_link","species_profile.wikipedia_link","species_profile.eol_link","species_profile.iucn_link","species_profile.arkive_link","species_profile.gbif_link"
11,"Galeopterus variegatus","Colugo","Least Concern","decreasing","sometimes seen",FALSE,TRUE,FALSE,"Also named the Sunda Flying Lemur or the Malayan Flying Lemur.  The Sunda Flying Lemur, also known as the Malayan Flying Lemur, is a species of colugo, not lemur. Until recently, it was thought to be one of only two species of flying lemur, the other being the Philippine Flying Lemur which is found only in the Philippines. It is comparable to a medium-sized possum or a very large squirrel. They have moderately long, slender limbs of equal length front and rear, a medium-length tail, and a relatively light build. The head is small, with large, front-focused eyes for excellent binocular vision, and small, rounded ears. Their most distinctive feature is the membrane of skin that extends between their limbs and gives them the ability to glide long distances between trees.
It is strictly arboreal and nocturnal. Head-body length of Sunda Flying Lemur is about 34 to 38 cm. Its tail length is around 24 to 25 cm and weight is 0.9 to 1.3 kg.
Although they are placental mammals, colugos are marsupial-like in their breeding habits. The young are born after 60 days of gestation in a tiny and undeveloped form, and spend their first six months or so of life clinging to the mother’s belly. To protect them and transport them she curls her tail up to fold the gliding membrane into a warm, secure quasi-pouch. Breeding is fairly slow as the young do not reach full size until they are two or three years old.","Brunei Darussalam; Cambodia; Indonesia; Lao People’s Democratic Republic; Malaysia; Myanmar; Singapore; Thailand; Vietnam.","Lowland tropical rain forest.","Herbivorous: leaves, shoots, flowers and sap,  fruit. They have well-developed stomachs and long intestines, capable of extracting nutriment from leaves.","Philippine monkey-eating eagle and humans.","The Sunda Flying Lemur is protected by national legislation. In addition to deforestation and loss of habitat, local subsistence hunting poses a serious threat to this animal. Competition with the Plantain squirrel (Callosciurus notatus) represents another challenge for this species. ","http://farm4.staticflickr.com/3400/3616294976_325b70f833.jpg","http://www.flickr.com/photos/dzul_3my/3616294976/","Colugo - Observing with curiosity by Dzulhelmi Nasir, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=galeopterus+variegatus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Sunda_flying_lemur","http://eol.org/pages/1040858/overview","http://www.iucnredlist.org/details/41502/0","http://www.arkive.org/malayan-colugo/galeopterus-variegates/","http://data.gbif.org/species/2432087/"
12,"Paradoxurus hermaphroditus","Common Palm Civet","Least Concern","stable","commonly seen",FALSE,TRUE,FALSE,"Also known as Musang, Toddy Cat. A nocturnal omnivore, the palm civet hunts alone. They are expert climbers and spend most of their lives in trees. This species is adapted for forest living, yet it tolerates living in areas near humans; sleeping in barns, drains, or roofs during the day, and coming out at night to catch rats or forage for mango, coffee, pineapples, melons, and bananas, it also eats insects and molluscs.  The palm civet is also fond of coffee cherries. They eat the outer fruit and the coffee beans pass through their digestive tract. An expensive coffee called kopi luwak is supposedly made from these coffee beans. Kopi luwak is said to have a gamy flavor and sells for more than $100 per pound.
Weighing from 4 to 11 pounds, the palm civet’s head and body length is 17 to 28 inches (43.2-71 cm), with a tail length of 16 to 26 inches (40.6-66 cm). Its ears are small and faintly pointed, as is its nose. It has a long and slender body with short legs. They have a coarse grayish to brown coat with black-tipped guard hairs over all. Three rows of black spots run along each side of its body. The hair around its eyes, cheeks and muzzle is black, with spots of white under each eye and on each side of its nose. The ears, feet and last end of its tail are also black.
Both sexes have well-developed anal scent glands looking somewhat like testes, which gives the musang its species name.
Plam civets reproduce throughout the year although it has been recorded that kittens are most often seen from October to December. Kittens are born in a litter of 2 to 5 young. Palm civets become sexually mature at 11 to 12 months.","Bangladesh; Bhutan; Brunei Darussalam; Cambodia; China; India; Indonesia (Irian Jaya – Introduced, Jawa, Kalimantan, Lesser Sunda Is. – Introduced, Maluku – Introduced, Sulawesi – Introduced, Sumatera); Lao People’s Democratic Republic; Malaysia (Peninsular Malaysia, Sabah, Sarawak); Myanmar; Nepal; Philippines; Singapore; Sri Lanka; Thailand; Vietnam.","Wide range of habitats including evergreen and deciduous forest (primary and secondary), plantations and near humans, in habitats up to 2,400 m.","They eat small vertebrates, insects, ripe fruits and seeds. They are very fond of palm sap, therefore their common name. The sap is used by natives to make a sweet liquor called “toddy”, which gives the palm civet its other common name. The palm civet is also fond of coffee cherries.","Birds of prey and large carnivores.","In some parts of its range this species is hunted for bush meat and the pet trade. In South China it is extensively hunted and trapped. It is also persecuted as a pest though it seems able to tolerate very high levels of persecution.","http://farm8.staticflickr.com/7060/6854369697_de7a7d851d.jpg","http://www.flickr.com/photos/neilkonradiii/6854369697/","Asian Palm Civet (Paradoxurus hermaphroditus) by NeilKonradIII, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=paradoxurus+hermaphroditus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Asian_palm_civet","http://eol.org/pages/328089/overview","http://www.iucnredlist.org/details/41693/0","http://www.arkive.org/common-palm-civet/paradoxurus-hermaphroditus/","http://data.gbif.org/species/2434708/"
13,"Hystrix brachyura","Common Porcupine","Least Concern","decreasing","sometimes seen",TRUE,TRUE,TRUE,"Also known as the Malayan Porcupine and the Himalayan Crestless Porcupine. It is a large and stout bodied nocturnal rodent covered with quills which are sharp, rigid structures. The quills/spines are modified hair. The quills or spines on their upper body parts are rough with black and white or yellowed stripe in colour. The young’s soft quills become hard as they enter adulthood. It has short stocky legs covered in brown hairs which have four claws on the front and five on the hind legs. Both front and hind legs have smooth soles. The head and body measurement are around 63-72.5 cm and their tail is about 6–11 cm. Their weight is around 0.7 kg-2.4 kg.
Malayan porcupines create burrows which lead into huge networks of tunnels beneath their surrounding habitats, allowing them to get around during the daytime without being exposed to sunlight. It is found in various types of forest habitats as well as open areas near forests. It may stray into nearby agricultural areas. It digs into the ground and inhabits dens near rocky areas, where it lives in small groups. They live with other adults of their species and usually produce litters of two or three pups after a pregnancy of around 110 days.","Bangladesh; China; India; Indonesia; Lao People’s Democratic Republic; Malaysia; Myanmar; Nepal; Thailand; Vietnam.","Forest habitats, and in scrubby, open areas close to forest.","Roots, tubers, bark and fallen fruits. They also eat carrion and insects.","Humans.","Hunted for food but this not thought to impact populations. In South Asia, it is threatened by habitat loss due to construction of dams, human settlements and other infrastructure development. It is harvested for subsistence food and medicinal purposes.","http://farm9.staticflickr.com/8200/8192444231_b50c2019b1.jpg","http://www.flickr.com/photos/avianphotography/8192444231/","Malayan Porcupine (Captive) by myrontay, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=hystrix+brachyura&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Malayan_porcupine","http://eol.org/pages/1038712/overview","http://www.iucnredlist.org/details/10749/0","","http://data.gbif.org/species/5219890/"
14,"Lophura ignita","Crested Fireback","Near Threatened","decreasing","rarely seen",FALSE,TRUE,FALSE,"The Crested Fireback, Lophura ignita, is a medium-sized, up to 70 cm long, forest pheasant with a peacock-like dark crest, bluish black plumage, reddish brown rump, black outer tail feathers, red iris and bare blue facial skin. Fireback pheasants are widely admired for their impressive facial decorations, which play an important role in courtship displays. The female is a brown bird with short crest, blue facial skin and spotted black-and-white below.
The males are approximately 67cm in length, and 28cm in wing length. The female is slightly smaller than the male.
They breed at the approximately age of 3. Usually in May through August. A typical Clutch Size is 4 to 8 eggs and are incubated for approximately 24 days. Males become particularly aggressive during breeding season.","Brunei Darussalam; Indonesia; Malaysia; Myanmar; Thailand.","Lowland tropical rain forest.","Leaves, seeds, figs and insects.","Lizards and Big cats.","Forest destruction (logging & land conversion) in the Sundaic lowlands of Indonesia and Malaysia has been extensive, trapping for the cage-bird industry.","http://farm8.staticflickr.com/7011/6652459831_6597949e0f.jpg","http://www.flickr.com/photos/jeremyringma/6652459831/","Crested fireback, Lophura ignita by Jeremy Ringma, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=lophura+ignita&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Crested_Fireback","http://eol.org/pages/1048463/overview","http://www.iucnredlist.org/details/100600259/0","http://www.arkive.org/crested-fireback/lophura-ignita/","http://data.gbif.org/species/5227961/"
15,"Bronchocela cristatella","Crested Green Lizard","Not Evaluated","stable","rarely seen",FALSE,TRUE,FALSE,"The body colour of this lizard is bright green, sometimes with a bluish tinge on the head. It is able to change colour, turning darker brown when threatened. Males have an attractive neck crest. The tail makes up over 75 percent of its total length of 57cm.","Southeast Asia: Malaysia (West Malaysia and Borneo), Singapore, Indonesia, Philippines (Palawan, Calamian Islands, Panay, Luzon), South Thailand, South Myanmar (Tenasserim Hills), and India (Nicobar Islands).","Primary and secondary forest.","Insects and other invertebrates.","Snakes.","Persecution from superstition, harvest for the pet trade and habitat loss.","http://farm1.staticflickr.com/18/68315631_d80ed874fe.jpg","http://www.flickr.com/photos/chengpuay/68315631/","Bronchocela cristatella by _Cheng Puay, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=bronchocela+cristatella&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Bronchocela_cristatella","http://eol.org/pages/964198/overview","","","http://data.gbif.org/species/2466852/"
16,"Prionailurus planiceps","Flat","Endangered","decreasing","sometimes seen",TRUE,FALSE,TRUE,"The Flat-headed Cat takes its name from its unusually long, sloping snout and flattened skull roof, with small ears set well down the sides of its head. It is nocturnal and has large, close-set eyes, and relatively longer and sharper teeth than its close relatives. The thick fur is reddish-brown on top of the head, dark roan brown on the body, and mottled white on the underbelly. The face is lighter in colour than the body, and the muzzle and chin are white. Two prominent buff whitish streaks run on either side of the nose between the eyes. The teeth are adapted for gripping onto slippery prey, jaws that are relatively powerful and retractable claws. These features help the flat-headed cat to catch and retain aquatic prey, to which it is at least as well adapted as the fishing cat.
Flat-headed cats are presumably solitary, and probably maintain their home ranges by scent marking.
Very little is known about this species, with only a handful of observations and camera trap records. Available information suggests that, like its close relative the fishing cat, the flat-headed cat is strongly associated with wetlands and preys primarily on fish.
Their gestation period lasts about 56 days, litter sizes range from records of 1 to 2 kittens.","Brunei Darussalam; Indonesia (Kalimantan, Sumatera); Malaysia (Peninsular Malaysia, Sabah, Sarawak); Thailand.","Wetlands and lowland forests.","Fish, shrimp,  domestic poultry.","Opportunistic larger predators.","Wetland and lowland forest destruction and degradation is the primary threat faced by the species Causes of this destruction include human settlement, forest transformation to plantations, draining for agriculture, pollution, and excessive hunting, wood-cutting and fishing. ","http://farm3.staticflickr.com/2199/2068631909_4527f817a9.jpg","http://www.flickr.com/photos/21312254@N04/2068631909/","Flat-headed Cat Zoo Melaka by nature24, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=prionailurus+planiceps&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Flat-headed_cat","http://eol.org/pages/311659/overview","http://www.iucnredlist.org/details/18148/0","http://www.arkive.org/flat-headed-cat/prionailurus-planiceps/","http://data.gbif.org/species/2434917/"
17,"Petaurista petaurista","Giant Red Flying Squirrel","Least Concern","decreasing","rarely seen",TRUE,FALSE,TRUE,"The Red Giant Flying Squirrel is amongst the largest of flying squirrels in Southeast Asia. It is characterised by its dark red colouring and large eyes. When compared to other species of squirrels, this species is large, being on average 42 cm long. Entire body dark reddish except for black on nose, chin, eye-ring, behind the ears, feet and tail tip. Petaurista petaurista possibly represents a complex of several similar species.
It is predominantly nocturnal and inhabits primary or tall secondary forest. It does not hibernate, but migrates to areas with more food.. Further studies are needed to clarify the taxonomic status of populations currently allocated to this species.
Like all other species of flying squirrels, it has a membrane of skin between its legs, which is used to glide between trees.
It is able to glide for long distances. There have been reports of distances up to 75 metres (250 ft.) or greater; glide angles are generally 40-60 degrees from the horizontal, occasionally steeper for shorter glides. Their nest holes usually at least 10m above ground.
P. petaurista is most active between sunset and midnight and the home range of adult females in conifer plantation was estimated to be 3.2ha.
The Red Giant Flying Squirrel is believed to mate twice a year and the young are typically born in March or August in litters of two to three.","Afghanistan; Brunei Darussalam; China (Sichuan, Yunnan); India (Assam, Bihar, Himachal Pradesh, Jammu-Kashmir, Meghalaya, Punjab, Uttaranchal, Uttar Pradesh, West Bengal); Indonesia (Jawa, Kalimantan, Sumatera); Malaysia (Peninsular Malaysia, Sabah, Sarawak); Myanmar; Nepal and Thailand.","Moist evergreen broadleaf forest, temperate forest, coniferous forests, scrub forest, rocky areas as inland cliffs and mountain peaks.","Conifer cones, leaves and branches, and, when in season, fruits and nuts, and occasionally insects.","Birds of prey.","Habitat conversion due to logging, agriculture, dam construction, infrastructure development and urbanization is occurring throughout the range of the species. It has been harvested for the pet and fur trade in South Asia.","http://farm9.staticflickr.com/8048/8142353650_c066191a19.jpg","http://www.flickr.com/photos/vil_sandi/8142353650/","Yikes! So deep! by vil.sandi, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=petaurista+petaurista&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Red_giant_flying_squirrel","http://eol.org/pages/1178624/overview","http://www.iucnredlist.org/details/16723/0","","http://data.gbif.org/species/5219691/"
18,"Ratufa affinis","Giant Squirrel","Near Threatened","decreasing","rarely seen",TRUE,FALSE,TRUE,"Also known as the pale giant or cream coloured squirrel. It is a closed canopy species that is never seen on ground. It is one of the largest species of squirrel in the world. The head and back of the body varies from dark brown to gray, and the belly varies from dark yellow to white. The ears are short and round. The adult squirrel’s head and body is from 322 to 350 millimetres (12.7 to 14 in) in length, and the tail is 373 to 438 millimetres (14.7 to 17.2 in) long, with an overall length of 695 to 788 millimetres (27.4 to 31.0 in); the weight is between 929 to 1,575 grams (2.05 to 3.47 lb).
This species is diurnal, but mainly active during morning and evening. They live either in pairs or alone. Unlike other tree squirrels, the cream-coloured giant squirrel does not sit upright with its tail arched over its back while feeding; instead, it balances itself with its hind feet on a branch so that its hands are free to control its food. In this position the axis of the squirrels body is held at right angles to the support, with its head and forequarters on one side of the branch, and the tail as a counterweight on the other side.
Although this squirrel often will make holes in trees for shelter, during the breeding season it constructs a large globular drey (or nest) in tree branches, roughly the size of an eagle’s aerie. The young are born and raised in this nest.","Brunei Darussalam; Indonesia (Kalimantan, Sumatera); Malaysia (Peninsular Malaysia, Sabah, Sarawak); Singapore; Thailand.","Wet evergreen forests.","Mainly fruit seeds and leaves, sometimes on insects.","Humans, cats, snakes and raptors.","","http://farm3.staticflickr.com/2387/2384236292_838d651193.jpg","http://www.flickr.com/photos/johnnizam/2384236292/","Giant Squirrel (Ratufa affinis sandakanensis) by John Bakar - Johnnizam, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=ratufa+affinis&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Cream-coloured_giant_squirrel","http://eol.org/pages/326226/overview","http://www.iucnredlist.org/details/19376/0","http://www.arkive.org/pale-giant-squirrel/ratufa-affinis/","http://data.gbif.org/species/2437564/"
19,"Argusianus argus","Great Argus","Near Threatened","decreasing","sometimes seen",FALSE,TRUE,FALSE,"The Great Argus was named by Carolus Linnaeus for the many eyes-like pattern on its wings. In Greek mythology, Argus is a hundred-eyed giant. It is also known as Phoenix in some Asian areas.
One of the most unusual of all bird species, males are unmistakable with massive primary, secondary and tail feathers. The face is blue, the crown is black with a distinctive short crest. The upperparts are brown, finely mottled with buff; iridescent ocelli can be found on the wings and tail. The wings can continue to grow until the bird reaches its sixth year. They are amongst the largest of all pheasants measuring up to 6.5 feet (~2m) in length. A. a. grayi is slightly smaller than A. a. argus and can be distingiused by the burnt orange on the breast and neck and with more white spotting. Females are similar, but smaller than males; also lack the ornate tail and wings.
The Great Argus’s breeding display is remarkable.  The male clears an open spot in the forest and prepares a dancing ground. He announces himself with loud calls to attract females, then he dances before her with his wings spread into two enormous fans, revealing the hundred of flashy “eye-spots” eyes.
The Great Argus is monogamous. They reach sexual maturity in three years. The Great argus produce two to four eggs per year. The newly-hatched chicks soon leave the nest area in company with their mother. Their wing feathers grow quickly, allowing them to fly long before they reach their adult size. The dispersal of their young is rather early.","Brunei Darussalam; Indonesia; Malaysia; Myanmar; Thailand.","Occurs in tall, dry, lowland primary and logged forests, up to 1,300 m, but principally, below 900 m. It is much sparser in deciduous forest and rare to absent from lowland peat swamp and white-sand heath forests.","Fruit, seeds and insects.","Civets and cats.","Forest destruction, including the escalation of logging and land conversion, with deliberate targeting of all remaining stands of valuable timber including those inside protected areas, plus forest fires (particularly in 1997-1998), and declines are compounded by trapping for the cage-bird industry.","http://farm1.staticflickr.com/204/505092827_442ff251bf.jpg","http://www.flickr.com/photos/dpfunsun/505092827/","Great Argus-Argusianus argus Pheasant-Pheasant by dpfunsun, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=argusianus+argus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Great_Argus","http://eol.org/pages/915302/overview","http://www.iucnredlist.org/details/139541085/0","http://www.arkive.org/great-argus/argusianus-argus/","http://data.gbif.org/species/5227762/"
20,"Manouria emys","Great Forest Tortoise","Endangered","decreasing","sometimes seen",TRUE,TRUE,TRUE,"Also known as the asian brown tortoise, Asian Giant Tortoise, Asian Tortoise and Black Giant Tortoise, Burmese Brown Tortoise, Burmese Mountain Tortoise. This tortoise is the largest inhabiting Asia, and the fourth largest in the world. It has a carapace length of up to 50 cm and a weight of approximately 20kg.
The tortoise’s forelimbs have five large claws and are covered on the front with large, heavy, overlapping scales. By contrast, the hindlimbs end in four pointed claws and bare a conspicuous cluster of very large tubercular scales on the thigh either side of the tail. These are so large that the species is sometimes referred to as the six-footed tortoise. It spends most of the warmer parts of the day soaking in pools or in the shade, out of the sun’s rays.
The Asian tortoise is unique among turtles and tortoises in building a nest on the surface of the ground, and in providing maternal protection of the eggs. For a few days before laying, the female gathers up leaves and debris into a mound on which to place her clutch. Unlike most tortoises, which use their hindlimbs to excavate nest sites, Asian tortoises use their forelimbs to ‘backsweep’ surface leaf-litter. Reported clutch sizes in captivity range from 21 to 53 eggs, which the female then covers with vegetation and guards, frequently piling more vegetation on top. If the eggs are threatened by a potential predator, the female will first attempt to drive them away by pushing and biting, but if this fails, she then defends the eggs by sprawling her body over them. This behaviour normally lasts just a few days following egg-laying, although up to six weeks of nest-guarding has been recorded ","Assam in India, through Burma and Bangladesh to northern and west-central Thailand, while the Asian brown tortoise reportedly occurs in southern Thailand, Peninsula Malaysia, Sumatra and Borneo.","Temperate moist, broadleaf forest and tropical evergreen rainforest.","Grasses, vegetables, leaves, seedlings, herbs, fruits and fungi, although invertebrates and amphibians have occasionally been recorded in the diet.","Humans, eggs predated by civets.","Over-harvesting and exploitation for the food and pet trade, compounded by habitat destruction.  ","http://farm2.staticflickr.com/1177/1070200579_99b11a8799.jpg","http://www.flickr.com/photos/73879198@N00/1070200579/","Manouria emys phayrei by Herpetologe, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=manouria+emys&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Asian_forest_tortoise","http://eol.org/pages/1055883/overview","http://www.iucnredlist.org/details/12774/0","http://www.arkive.org/asian-tortoise/manouria-emys/","http://data.gbif.org/species/2441830/"
21,"Tragulus napu","Greater Mouse Deer","Least Concern","decreasing","commonly seen",FALSE,TRUE,FALSE,"Also known as the Greater Oriental Chevrotain, Balabac Chevrotain, Greater Mousedeer, Larger Malay Chevrotain, Larger Mousedeer, and Napu. It is marked with a vivid pattern of stripes on its pelage. It is small for a deer species, compactly built, shy, and mostly nocturnal in habit.
Using tiny, tunnel-like trails through thick brush when traveling, they rest and move at specific intervals several times a day. Extremely territorial by nature, both sexes of larger Malay mouse deer regularly mark their territories with urine, faeces, and secretions from an inter-mandibular gland under the chin. When angry, the male will beat the ground with his hooves at a rate of four times per second.
Greater mouse-deer breed throughout the year; the female spends most of her adult life pregnant. They usually produce one young per birth, after a gestation of 152–155 days. Newborn animals are well-developed and immediately able to stand; they are fully active after 30 minutes. The young stand on three legs while nursing. Both male and female become mature at age 4½ months. Their life span is up to 14 years.","Brunei Darussalam; Indonesia (Kalimantan, Sumatera); Malaysia (Peninsular Malaysia, Sabah, Sarawak); Myanmar; Thailand.","Subtropical or tropical moist lowland forest.","Fallen fruits, aquatic plants, buds, leaves, shrubs and grasses.","Humans and big cats.","Hunting and habitat loss.","http://farm8.staticflickr.com/7233/7196675724_6243c6472b.jpg","http://www.flickr.com/photos/avianphotos/7196675724/","Greater mouse Deer  (Tragulus napu) by gary1844, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=tragulus+napu&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Greater_mouse-deer","http://eol.org/pages/4445354/overview","http://www.iucnredlist.org/details/41781/0","","http://data.gbif.org/species/5220186/"
22,"Trachypithecus cristatus","Grey Leaf Monkey","Near Threatened","decreasing","sometimes seen",TRUE,TRUE,TRUE,"Also known as the silvered leaf monkey or the silvery langur/lutung. It is a medium sized monkey with a long, non-prehensile tail. It has grey-tipped, dark brown or black fur, giving it a uniform silvery appearance. A crest of fur runs along the top of the head, and the hair on the cheeks is long, often obscuring the ears. The hands and feet are hairless, with dark coloured skin, and have opposable thumbs and toes. Silvery lutings are diurnal, and travel in groups of around 9-40 individuals with one adult male and many adult females communally caring for infants. Females remain in the group for life, while males leave shortly after reaching adulthood, living in small groups of their own until they can take over an established harem. Within the group, males dominate the females, and females with young dominate those without. Like other langurs, the silvery lutung has a large three-chambered stomach to digest the cellulose found in its herbivorous diet.
Females range from 46 to 51 centimetres (18 to 20 in) in head-body length, with an average weight of 5.7 kilograms (13 lb) and a tail length of 67 to 75 centimetres (26 to 30 in). Males are slightly larger, from 50 to 58 centimetres (20 to 23 in) in length, with an average weight of 6.6 kilograms (15 lb) and a tail length of 67 to 75 centimetres (26 to 30 in). 
Silvery lutungs breed year round, with no clear breeding season, although each female typically gives birth no more than once every 18 to 24 months.[8] The female attracts the male by making side-to-side motions with her head, and copulation may occur several times during a bout. Unusually, females have been reported to reach menopause in the wild, and may survive up to nine years after last giving birth. 
The female gives birth to a single young after a gestation period of 181 to 200 days. The young weigh about 400 grams (14 oz), measure about 20 centimetres (7.9 in) and are well developed, with a strong grip for holding onto the mother. Silvery lutungs are born with orange fur, and with white hairless skin on the face, hands, and feet. The skin rapidly changes to the dark adult colour, but the fur does not reach the adult pattern for three to five months after birth. The young are cared for by females communally, and are not weaned for 18 months, even though the biological mother stops lactating after just 12 months.[9] The young are sexually mature almost as soon as they finish weaning, and, on average, females first give birth at 35 months of age.","Brunei Darussalam; Indonesia; Malaysia.","A variety of primary and secondary forest types, including riverine, mangrove, swamp, montane and coastal. It is occasionally found in plantations.","Mainly folivorous, with leaves comprising 60 to 80% of the diet. However, it will also feed on fruit, seeds, flowers, and young shoots.","Humans, leopards, tigers, dholes, and some large snakes. Binturongs, civets.","Disappearance of suitable lowland habitat due to land clearance (especially for oil palm plantations) and forest fires is a major threat, especially in Peninsular Malaysia and Borneo. The species is hunted in Sarawak, while in Sumatra it is heavily traded and is a popular pet.","http://farm4.staticflickr.com/3008/5707637760_f2fc744f44.jpg","http://www.flickr.com/photos/truus_en_zoo/5707637760/","Silvery Lutung & Young by Truus & Zoo, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=trachypithecus+cristatus&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Silvery_lutung","http://eol.org/pages/311196/overview","http://www.iucnredlist.org/details/22035/0","http://www.arkive.org/silvered-leaf-monkey/trachypithecus-cristatus/","http://data.gbif.org/species/2436542/"
23,"Prionailurus bengalensis","Leopard Cat","Least Concern","stable","often seen",TRUE,TRUE,TRUE,"The leopard cat’s name is derived from the leopard-like spots it has. Leopard cats are excellent swimmers. Leopard cats are solitary, except during breeding season. Some are active during the day, but most hunt at night. They are agile climbers and quite arboreal in their habits. They rest in trees, but also hide in dense thorny undergrowth on the ground. Leopard cats can swim, but seldom do so. They produce a similar range of vocalisations to the domestic cat. Leopard cats are about the size of a domestic cat, but more slender with longer legs and well-defined webs between the toes. Their small head is marked with two prominent dark stripes, their short and narrow muzzle white. There are two dark stripes running from the eyes to the ears, and smaller white streaks running from the eyes to the nose. The backs of their moderately long and rounded ears are black with a central white spot. Body and limbs are marked with black spots of varying size and color, and along the back are two to four rows of elongated spots. The tail is about half the size of their head-body-length and spotted with a few indistinct rings near the black tip. leopard cats weigh 0.55 to 3.8 kg (1.2 to 8.4 lb), have a head-body-length of 38.8 to 66 cm (15.3 to 26 in) with a 17.2 to 31 cm (6.8 to 12 in) long tail.
There is no fixed breeding period in the southern part of its range; in the colder northern range they tend to breed around March or April, when the weather is mild enough to support newborn kittens.
After a gestation period of 60–70 days, two to four kittens are born in a den, where they remain until they are a month old. The kittens weigh about 75 to 130 grams (2.6 to 4.6 oz) at birth and usually double their weight by age of two weeks. The eyes open at ten days, and the kittens start to eat solid food at 23 days. At the age of four weeks, the permanent canines appear, and the kittens begin to eat solid food. ","Afghanistan; Bangladesh; Bhutan; Brunei Darussalam; Cambodia; China; Hong Kong; India; Indonesia (Jawa, Kalimantan, Sumatera); Japan (Nansei-shoto); Korea, Democratic People’s Republic of; Korea, Republic of; Lao People’s Democratic Republic; Malaysia; Myanmar; Nepal; Pakistan; Philippines; Russian Federation; Singapore; Taiwan, Province of China; Thailand; Vietnam.","They occur in a broad spectrum of habitats, from tropical rainforest to temperate broadleaf and, marginally, coniferous forest, as well as shrub forest and successional grasslands. The northern boundaries of its range are limited by snow cover; the leopard cat avoids areas where snow is more than 10 cm deep. It is not found in the cold steppe grasslands, and generally does not occur in arid zones.","Rodents. Other small mammals, eels and fish have also been reported, as well as occasional scavenging of carrion.","Birds of prey.","Hunted throughout most of its range for fur, for food, and as pets. They are also widely viewed as poultry pests and killed in retribution. Leopard cats can hybridize with domestic cats, as is shown by the popular domestic breed, the “safari cat”. Habitat loss and fragmentation is still a major threat across most of its Asian range.","http://farm8.staticflickr.com/7225/7136074909_bc09180862.jpg","http://www.flickr.com/photos/berniedup/7136074909/","Leopard Cat Prionailurus bengalensis borneoensis by berniedup, on Flickr","http://scholar.google.co.uk/scholar?hl=en&q=prionailurus+bengalensis&btnG=&as_sdt=1%2C5&as_sdtp=","http://en.wikipedia.org/wiki/Leopard_cat","http://eol.org/pages/1041047/overview","http://www.iucnredlist.org/details/18146/0","http://www.arkive.org/leopard-cat/prionailurus-bengalensis/","http://data.gbif.org/species/2434903/"
