"picture","file","title","page_link","format","doi","contact_email","url","description","citation","legacy_output_id","legacy_user_id"
"11096675_1006990305977690_8111974599186148931_n-110x110.jpg","PosterSeltmannAnne.pdf","Do anthropogenic disturbances of habitats promote the transmission risk for viruses?","index.html%3Fp=69159.html","Poster",NA,NA,NA,"","A.Seltmann, M. Struebig,G. A. Czirjak, M. Dehnhard, C. Drosten, A. Kurth, T. Kingston, H. Bernard, C.C. Voigt",11,237
"IMG_0184-110x110.jpg",NA,"Mapping the structure of Borneo's tropical forests across a degradation gradient","index.html%3Fp=69153.html","Journal","http://dx.doi.org/10.1016/j.rse.2016.01.014",NA,NA,"South East Asia has the highest rate of lowland forest loss of any tropical region, with logging and deforestation for conversion to plantation agriculture being flagged as the most urgent threats. Detecting and mapping logging impacts on forest structure is a primary conservation concern, as these impacts feed through to changes in biodiversity and ecosystem functions. Here, we test whether high-spatial resolution satellite remote sensing can be used to map the responses of above ground live tree biomass (AGB), canopy leaf area index (LAI) and fractional vegetation cover (FCover) to selective logging and deforestation in Malaysian Borneo.We measured these attributes in permanent vegetation plots in rainforest and oil palm plantations across the degradation landscape of the Stability of Altered Forest Ecosystems project. We found significant mathematical relationships between field-measured structure and satellite-derived spectral and texture information, explaining up to 62% of variation in biophysical structure across forest and oil palm plots. These relationships held at different aggregation levels from plots to forest disturbance types and oil palms allowing us to map above ground biomass and canopy structure across the degradation landscape. The maps reveal considerable spatial variation in the impacts of previous logging, a pattern that was less clear when considering field data alone. Up-scaled maps revealed a pronounced decline in above ground live tree biomass with increasing disturbance, impacts which are also clearly visible in the field data even a decade after logging. Field data demonstrate a rapid recovery in forest canopy structure with the canopy recovering to pre-disturbance levels a decade after logging. Yet, up-scaled maps show that both LAI and FCover are still reduced in logged compared to primary forest stands and markedly lower in oil palm stands. While uncertainties remain, these maps can now be utilised to identify conservation win-wins, especially when combining them with ongoing biodiversity surveys and measurements of carbon sequestration, hydrological cycles and microclimate.","Pfeifer, M., Kor, L., Nilus, R., Turner, E., Cusack, J., Lysenko, I., Khoo, M., Chey, V. K., Chung, A. C. and Ewers, R. M. Remote Sensing of Environment 176 (2016) 84-97",12,164
"rat-e1455204461237-110x110.jpg",NA,"Movement Behavior of Native and Invasive Small Mammals Shows Logging May Facilitate Invasion in a Tropical Rain Forestt","index.html%3Fp=69148.html","Journal","http://dx.doi.org/10.1111/btp.12306",NA,NA,"Invasive species pose one of the greatest threats to biodiversity. This study investigates the extent to which human disturbance to natural ecosystems facilitates the spread of non-native species, focusing on a small mammal community in selectively logged rain forest, Sabah, Borneo. The microhabitat preferences of the invasive Rattus rattus and three native species of small mammal were examined in three dimensional space by combining the spool-and-line technique with a novel method for quantifying fine-scale habitat selection. These methods allowed the detection of significant differences for each species between the microhabitats used compared with alternative, available microhabitats that were avoided. Rattus rattus showed the greatest preference for heavily disturbed habitats, and in contrast to two native small mammals of the genus Maxomys, R. rattus showed high levels of arboreal behavior, frequently leaving the forest floor and traveling through the understory and midstory forest strata. This behavior may enable R. rattus to effectively utilize the complex three-dimensional space of the lower strata in degraded forests, which is characterized by dense vegetation. The behavioral flexibility of R. rattus to operate in both terrestrial and arboreal space may facilitate its invasion into degraded forests. Human activities that generate heavily disturbed habitats preferred by R. rattus may promote the establishment of this invasive species in tropical forests in Borneo, and possibly elsewhere. We present this as an example of a synergistic effect, whereby forest disturbance directly threatens biodiversity and indirectly increases the threat posed by invasive species, creating habitat conditions that facilitate the establishment of non-native fauna.","Loveridge, R., Wearn, O. R., Vieira, M., Bernard, H. and Ewers, R. M. Biotropica 2016",13,127
"IMG_5640-110x110.jpg",NA,"Are riparian forest reserves sources of invertebrate biodiversity spillover and associated ecosystem functions in oil palm landscapes?","index.html%3Fp=69145.html","Journal","http://dx.doi.org/10.1016/j.biocon.2015.12.017",NA,NA,"The world's forested landscapes are increasingly fragmented. The effects of fragmentation on community composition have received more attention than the effects on ecological processes, particularly in the tropics. The extent to which populations from forest fragments move (spillover) into surrounding agricultural areas is of particular interest. This process can retain connectivity between populations and alter the rate of beneficial or detrimental ecological functions. We tested whether riparian forest fragments (riparian reserves), are sources of two functionally important invertebrate groups (dung beetles and scavenging ants) within oil palm plantations in Malaysia. We also assessed whether forest fragments enhance rates of associated ecosystem functions (dung and bait removal). We found that oil palm sites with and without adjacent riparian reserves had similar overall beetle and ant communities and functional rates. However, dung beetle species richness, abundance and diversity declined with distance from a riparian reserve, providing evidence for a weak spillover effect. In addition, dung beetle community metrics within a riparian reserve predicted corresponding values in adjacent oil palm areas. These relationships did not hold for dung removal, ant community metrics or bait removal. Taken together, our results indicate that although riparian reserves are an important habitat in their own right, under the conditions in which we sampled they have a limited role as sources of functionally important invertebrates. Crucially, our results suggest that contiguous habitat corridors are important for maintaining connectivity of invertebrate populations, as forest dependent species may not easily be able to disperse through the agricultural matrix.","Gray, C.L, Simmons, B. I., Fayle, T. M., Mann, D. J. and Slade, E. M. Biological Conservation 194 (2016) 176-183",14,73
"2008-11-29_0548-110x110.jpg",NA,"'Fragmented' A MSc Thesis and Documentary","index.html%3Fp=69110.html","Masters Thesis",NA,NA,NA,"'Fragmented' both a thesis and a documentary in support of Stephanie Sammann's MSc in Science Media Production.

Stephanie tells the story of rainforest fragmentation for palm oil production, focusing on the SAFE Project.

The film will be available soon.","",15,244
"review-110x110.jpg",NA,"SAFE's Five Year Review","index.html%3Fp=69079.html","Other",NA,NA,NA,"Long-term environmental science in the making: The Stability of Altered Forest Ecosystems (SAFE) Project has just published a review of its first five years. The SAFE project is one of the largest ecological experiments in the world, endeavouring to understand the myriad ways in which logging, deforestation and forest fragmentation modify the functioning of tropical rainforest, impair their ability to deliver ecosystem services, and reduce their capacity to support the diversity of life. This report summarises the research findings that have already been generated and highlights how this science is being translated in to policy.

Click here to see the full report.","",16,57
"10407443_903075839702471_9009839680571819499_n-110x110.jpg",NA,"Effects of Logging and Oil Palm Expansion on Stream Frog Communities on Borneo, Southeast Asia","index.html%3Fp=69060.html","Journal","http://dx.doi.org/10.1111/btp.12248",NA,NA,"The conversion of tropical rain forests to oil palm plantations is a major threat to Southeast Asia's rich biodiversity. Fostering forest species communities in secondary forests, agroforestry systems, and plantations is therefore increasingly becoming a conservation focus. This study uses standardized transect-based sampling to compare species richness, density and community composition of stream anuran assemblages among primary forests, repeatedly logged forests and oil palm plantations in northern Borneo. In primary forest streams, we recorded an average of 19 frog species, compared to 15 species in logged forests and 11 species in oil palm plantation streams. However, the high percentage of canopy cover above the plantation streams mitigated this loss to some extent. This study corroborates numerous studies that oil palm plantations have mainly negative effects on the region's biodiversity. However, our results also demonstrate the high conservation value of logged forests for Bornean stream-dependent anurans. We conclude that  palm plantations have a largely unused potential to promote regional anuran biodiversity.","Oliver Konopik, Ingolf Steffan-Dewenter and T. Ulmar Grafe",17,116
"DSC6239_2358-150x150.jpg",NA,"Impacts of tropical selective logging on carbon storage and tree species richness: A meta-analysis","index.html%3Fp=69019.html","Journal",NA,NA,NA,"Over 400 million hectares of tropical forest are currently designated as logging concessions. This practice is an important source of timber, but there are concerns about its long-term sustainability and impacts on biodiversity and carbon storage. However, logging impacts vary widely, making generalisation and, consequently, policy implementation, difficult. Recent syntheses of animal biodiversity have indicated that differences in logging intensity - the volume of wood removed ha−1 - might help to explain some of these disparities. In addition, it has widely been assumed that reduced impact logging (RIL) might minimise some of the negative effects of logging; though in practice, this has rarely been tested. To test the hypothesis that RIL reduces negative impacts of selective logging once intensity is controlled for, we used meta-analyses of selective logging impact studies, focusing specifically on (1) residual tree damage, (2) aboveground biomass and (3) tree species richness. Our results indicate that RIL appears to reduce residual tree damage when compared to conventional methods. However, changes in aboveground biomass were negatively related to logging intensity. Any effect of RIL, independent of logging intensity, was difficult to discern since it was carried out at relatively low intensities. Tree richness appeared to increase at low intensities but decreased at higher intensities and any effect of RIL was difficult to detect. Our results tentatively support the hypothesis that RIL reduces the negative impacts of logging on tree damage, but do not support suggestions that RIL reduces loss of aboveground biomass or tree species richness. However, this lack of support may be a result of the relative paucity of data on the topic. Based on our results, we suggest that better evidence is needed to assess the differences between the impacts of RIL and conventional logging. Studies that consider plot-level differences in logging intensity are required to fill this knowledge gap. In addition, there must be clarification of whether RIL is an inherently low intensity practice so that this can be factored into management.

More details can be found here.","Philip A. Martin, Adrian C. Newton , Marion Pfeifer, MinSheng Khoo,  and James M. Bullock. Journal of Forest Ecology and Management",18,164
"new-bat-spp-110x110.jpg",NA,"Description of a new species of the Rhinolophus trifoliatus-group (Chiroptera: Rhinolophidae) from Southeast Asia","index.html%3Fp=69011.html","Journal","doi: 10.3161/15081109ACC2015.17.1.002",NA,NA,"Newly described bat species recorded at SAFE Project.

Abstract: A new species of woolly horseshoe bat in the Rhinolophus trifoliatus species group is described from Sabah in Malaysian Borneo. Two specimens from Central and West Kalimantan, Indonesia are referred to this species. A fourth specimen from western Thailand is referable to this species but on the basis of ~10% genetic divergence at the cytochrome oxidase-I gene is described as a separate subspecies. Morphologically and acoustically the two subspecies are similar. With a forearm length of 52.90-54.70 mm, a skull length of 24.27-26.57 mm and a call frequency of 49.2-50.0 kHz, the new species overlaps in size and call frequency with the sympatric R. trifoliatus. However, it differs significantly in having a dark noseleaf and a uniformly dark brown pelage, resembling, but being intermediate in size between R. sedulus and R. luctus, which have a skull length of 18.99-20.17 and 26.35-32.07 mm, respectively. It also differs from R. trifoliatus in the shape and size of the rostral inflation. It can be distinguished from R. beddomei (forearm length 55.00-63.44 mm) and R. formosae (forearm length 53.85-62.40 mm), which are endemic to the Indian Subcontinent and Taiwan, respectively, by its relatively smaller body size. Acoustic and genetic data are included in the comparison between the species. Both character states support the conclusions based on morphology. Further surveys in intact evergreen forest together with a re-examination of museum specimens may reveal that this species is widespread in Southeast Asia.","Soisook, P., Struebig, M. J., Noerfahmy, S., Bernard, H., Maryanto, I., Chen, S. F., Rossiter, S. J., Kuo, H. C., Deshpande, K., Bates, P. J. J., Sykes, D. and Miguez, R. P. Acta Chiropterologica, 17(1): 21-36, 2015",19,199
"fern-110x110.jpg",NA,"Can leaf area index and biomass be estimated from Braun-Blanquet cover scores in tropical forests?","index.html%3Fp=69001.html","Journal","http://dx.doi.org/10.1111/jvs.12310",NA,NA,"Questions: The loss and degradation of tropical forests is having severe impacts on the dynamics of understorey plant communities. Understanding these impacts requires efficient ways to measure vegetation change over broad spatial and temporal scales. Leaf area index (LAI) and above-ground biomass are preferred quantitative measures of variation in plant community structure. However, their accurate measurement requires destructive sampling, which can be impractical or inappropriate. Here we test whether semi-quantitative assessment of Braun-Blanquet vegetation cover scores is a reliable proxy for direct quantitative measures of LAI and above-ground biomass of differing plant growth forms (PGF) within tropical forests.Location: Six hundred square kilometre area of tropical lowland rain forest in Sabah, Malaysia.

Methods: We sampled understorey rain forest plant communities across a disturbance gradient in 2 x 2 m plots at 301 locations.We used a modified Braun- Blanquet scale to estimate plant cover, destructively harvested all live aboveground biomass up to a height of 2 m, calculated the above-ground biomass of each species from separately processed stem and leaf fractions in each plot, and then calculated LAI using reference measures of specific leaf area for each species. For each of nine PGFs, we regressed LAI and biomass against the nine-point Braun-Blanquet ordinal transform scale (OTS) using linear mixed effects models.Results: We found a simple, uniform logarithmic scaling of LAI with increasing Braun-Blanquet cover classes that was consistent across most PGFs, and with slope estimates close to 1.0. By contrast, no simple scaling relationship was found for above-ground biomass, with most PGFs exhibiting an asymptotic relationship in which the Braun-Blanquet estimates across high cover scores provided almost no resolution of observed variation in empirical biomass measures.

Conclusions: We found that the Braun-Blanquet OTS provides a remarkably simple and accurate logarithmic scaling of LAI, but care should be taken in applying scaling rules uniformly across PGFs. In contrast, the Braun-Blanquet OTS shows a more complex relationship with plant above-ground biomass and we caution against its unconditional use for biomass estimation. The findings of this study should be broadly applicable to other ecosystems due to the heterogeneity of plant communities included in this work.","Timm F. Döbert, Bruce L. Webber, John B. Sugau, Katharine J.M. Dickinson and Raphael K. Didham Journal of Vegetation Science",20,47
"orchid-epiphyte-safe-110x110.jpg",NA,"Retaining biodiversity in intensive farmland: epiphyte removal in oil palm plantations does not affect yield","index.html%3Fp=68997.html","Journal","http://dx.doi.org/10.1002/ece3.1462",NA,NA,"The expansion of agriculture into tropical forest frontiers is one of the primary drivers of the global extinction crisis, resulting in calls to intensify tropical agriculture to reduce demand for more forest land and thus spare land for nature. Intensification is likely to reduce habitat complexity, with profound consequences for biodiversity within agricultural landscapes. Understanding which features of habitat complexity are essential for maintaining biodiversity and associated ecosystem services within agricultural landscapes without compromising productivity is therefore key to limiting the environmental damage associated with producing food intensively. Here, we focus on oil palm, a rapidly expanding crop in the tropics and subject to frequent calls for increased intensification. One promoted strategy is to remove epiphytes that cover the trunks of oil palms, and we ask whether this treatment affects either biodiversity or yield. We experimentally tested this by removing epiphytes from four-hectare plots and seeing if the biodiversity and production of fruit bunches 2 months and 16 months later differed from equivalent control plots where epiphytes were left uncut. We found a species-rich and taxonomically diverse epiphyte community of 58 species from 31 families. Epiphyte removal did not affect the production of fresh fruit bunches, or the species richness and community composition of birds and ants, although the impact on other components of biodiversity remains unknown. We conclude that as they do not adversely affect palm oil production, the diverse epiphyte flora should be left uncut. Our results underscore the importance of experimentally determining the effects of habitat complexity on yield before introducing intensive methods with no discernible benefits.","Graham W. Prescott, David P. Edwards & William A. Foster Ecology and Evolution, 5, 1944-1954",21,168
"ant-sil-110x110.jpg",NA,"Experimentally testing and assessing the predictive power of species assembly rules for tropical canopy ants","index.html%3Fp=68993.html","Journal","http://dx.doi.org/10.1111/ele.12403",NA,NA,"Understanding how species assemble into communities is a key goal in ecology. However, assembly rules are rarely tested experimentally, and their ability to shape real communities is poorly known. We surveyed a diverse community of epiphyte-dwelling ants and found that similar-sized species co-occurred less often than expected. Laboratory experiments  demonstrated that invasion was discouraged by the presence of similarly sized resident species. The size difference for which invasion was less likely was the same as that for which wild species exhibited reduced co-occurrence. Finally we explored whether our experimentally derived assembly rules could simulate realistic communities. Communities simulated using size-based species assembly exhibited diversities closer to wild communities than those simulated using size-independent assembly, with results being sensitive to the combination of rules employed. Hence, species segregation in the wild can be driven by competitive species assembly, and this process is sufficient to generate observed species abundance distributions for tropical epiphyte-dwelling ants.","Tom M. Fayle, Paul Eggleton, Andrea Manica, Kalsum M. Yusah and William A. Foster Ecology Letters, (2015) 18: 254-262",22,60
"10337754_811698062173583_3690636429932882946_n-110x110.jpg","singh-et-al-2015-JTropForSci-aboveground-biomass.pdf","Aboveground biomass and tree diversity of riparian zones in an oil palm-dominated mixed landscape in Borneo","index.html%3Fp=68963.html","Journal",NA,NA,NA,"Logging, deforestation and oil palm plantations have increased forest fragmentation in Borneo. Given the extent of forest loss and logging, evaluating the ability of remnant forests, especially fragments and riparian buffers, to provide above-ground biomass (AGB) storage and retain tree biodiversity is essential. This paper examines the variation in AGB stocks and tree species richness of riparian buffers located in forests of different disturbance intensities situated at the Stability of Altered Forest Ecosystem (SAFE) site in Sabah, Malaysian Borneo. Disturbance intensities ranged from pristine old growth forests to oil palm monocultures. The AGB of riparian buffers showed no significant variation between riparian buffers located in unlogged, once-logged and twice-logged forests but underwent sharp decline in heavily logged forests and oil palm (OP) plantations. However, riparian zones located within OP plantations exhibited significantly higher AGB than that of OP monoculture plantations. OP riparian buffers had the highest species richness although most were small, successional species. The retention of riparian buffers in OP plantations can yield AGB storage benefits while maintaining species rich assemblages of trees.","Singh, M., Malhi, Y. & Bhagwat,S.A. Journal of Tropical Forest Science 27(2): 227-239 (2015)",23,191
