rcuk_tags.level,rcuk_tags.subject,rcuk_tags.topic,rcuk_tags.tag
3,"Animal science","Animal diseases","Swine fever"
3,"Animal science","Animal diseases","TSEs"
3,"Animal science","Animal diseases","Tuberculosis"
3,"Animal science","Animal diseases","Vaccine development"
3,"Animal science","Animal diseases","Vectors"
3,"Animal science","Animal diseases","Viral diseases (animals)"
3,"Animal science","Animal diseases","Zoonoses"
2,"Animal science","Animal organisms ","Animal organisms "
3,"Animal science","Animal organisms ","Amphibians"
3,"Animal science","Animal organisms ","Animal organisms "
3,"Animal science","Animal organisms ","Annelids (earthworms)"
3,"Animal science","Animal organisms ","Aphids"
3,"Animal science","Animal organisms ","Arachnids"
3,"Animal science","Animal organisms ","Arthropods"
3,"Animal science","Animal organisms ","Birds"
3,"Animal science","Animal organisms ","C. Elegans"
3,"Animal science","Animal organisms ","Cattle"
3,"Animal science","Animal organisms ","Cephalopods"
3,"Animal science","Animal organisms ","Chickens"
3,"Animal science","Animal organisms ","Crustaceans"
3,"Animal science","Animal organisms ","Deer"
3,"Animal science","Animal organisms ","Drosophila"
3,"Animal science","Animal organisms ","Fish - freshwater"
3,"Animal science","Animal organisms ","Fish - marine"
3,"Animal science","Animal organisms ","Fish – farmed"
3,"Animal science","Animal organisms ","Flies"
3,"Animal science","Animal organisms ","Frogs (Xenopus)"
3,"Animal science","Animal organisms ","Gastropods (slugs, snails)"
3,"Animal science","Animal organisms ","Goats"
3,"Animal science","Animal organisms ","Helminths"
3,"Animal science","Animal organisms ","Hookworms"
3,"Animal science","Animal organisms ","Horses"
3,"Animal science","Animal organisms ","Insects"
3,"Animal science","Animal organisms ","Invertebrates"
3,"Animal science","Animal organisms ","Mammals"
3,"Animal science","Animal organisms ","Mice"
3,"Animal science","Animal organisms ","Molluscs"
3,"Animal science","Animal organisms ","Myriapoda"
3,"Animal science","Animal organisms ","Nematodes"
3,"Animal science","Animal organisms ","Parasitoids"
3,"Animal science","Animal organisms ","Pet animals"
3,"Animal science","Animal organisms ","Pigs"
3,"Animal science","Animal organisms ","Poultry"
3,"Animal science","Animal organisms ","Primates"
3,"Animal science","Animal organisms ","Rats"
3,"Animal science","Animal organisms ","Reptiles"
3,"Animal science","Animal organisms ","Rodents"
3,"Animal science","Animal organisms ","Rotifera"
3,"Animal science","Animal organisms ","Ruminants"
3,"Animal science","Animal organisms ","Sheep"
3,"Animal science","Animal organisms ","Zebra fish"
2,"Animal science","Animal reproduction","Animal reproduction"
3,"Animal science","Animal reproduction","Animal reproduction"
3,"Animal science","Animal reproduction","Embryos"
3,"Animal science","Animal reproduction","Fertilisation"
3,"Animal science","Animal reproduction","Fetal growth"
3,"Animal science","Animal reproduction","Fetal maturation"
3,"Animal science","Animal reproduction","Ovarian function"
3,"Animal science","Animal reproduction","Ovulation"
3,"Animal science","Animal reproduction","Parturition"
3,"Animal science","Animal reproduction","Pregnancy"
3,"Animal science","Animal reproduction","Sperm production and development"
3,"Animal science","Animal reproduction","Testes function"
3,"Animal science","Animal reproduction","Tissue differentiation and programming"
3,"Animal science","Animal reproduction","Uterus"
2,"Animal science","Animal welfare","Animal welfare"
3,"Animal science","Animal welfare","Animal husbandry welfare"
3,"Animal science","Animal welfare","Animal welfare"
3,"Animal science","Animal welfare","Anxiety"
3,"Animal science","Animal welfare","Consciousness"
3,"Animal science","Animal welfare","Corticosteroids"
3,"Animal science","Animal welfare","Deprivation"
3,"Animal science","Animal welfare","Enrichment"
3,"Animal science","Animal welfare","Pain (animal welfare)"
3,"Animal science","Animal welfare","Slaughter"
3,"Animal science","Animal welfare","Stereotypy"
3,"Animal science","Animal welfare","Stocking density"
3,"Animal science","Animal welfare","Stress in animals"
3,"Animal science","Animal welfare","Suffering"
3,"Animal science","Animal welfare","Transport of animals"
2,"Animal science","Endocrinology","Endocrinology"
3,"Animal science","Endocrinology","Adrenal glands"
3,"Animal science","Endocrinology","Calciotropic hormones"
3,"Animal science","Endocrinology","Endocrine system"
3,"Animal science","Endocrinology","Endocrinology"
3,"Animal science","Endocrinology","Ghrelin"
3,"Animal science","Endocrinology","HPA axis"
3,"Animal science","Endocrinology","Insulin"
3,"Animal science","Endocrinology","Melatonin"
3,"Animal science","Endocrinology","Neuroendocrinology"
3,"Animal science","Endocrinology","Reproductive hormones"
3,"Animal science","Endocrinology","Steroids"
3,"Animal science","Endocrinology","Stress hormones"
2,"Animal science","Immunology","Immunology"
3,"Animal science","Immunology","Allergy"
3,"Animal science","Immunology","Antibodies"
3,"Animal science","Immunology","Antigen presentation"
3,"Animal science","Immunology","Antigen processing"
3,"Animal science","Immunology","Antigens"
3,"Animal science","Immunology","Autoantibodies"
3,"Animal science","Immunology","Autoimmunity"
3,"Animal science","Immunology","Carbohydrate antigens"
3,"Animal science","Immunology","Cell activation"
3,"Animal science","Immunology","Cell-mediated immunity"
3,"Animal science","Immunology","Co-stimulation"
3,"Animal science","Immunology","Comparative immunology"
3,"Animal science","Immunology","Complement system"
3,"Animal science","Immunology","Disease resistance"
3,"Animal science","Immunology","Gastrointestinal tract (immunology)"
3,"Animal science","Immunology","Hematopoiesis"
3,"Animal science","Immunology","Hypersensitivity"
3,"Animal science","Immunology","Immunological memory"
3,"Animal science","Immunology","Immunological tolerance"
3,"Animal science","Immunology","Immunology"
3,"Animal science","Immunology","Immunomodulation"
3,"Animal science","Immunology","Immunopathology"
3,"Animal science","Immunology","Immunoregulation"
3,"Animal science","Immunology","Immunotherapy"
3,"Animal science","Immunology","Infection"
3,"Animal science","Immunology","Inflammation"
3,"Animal science","Immunology","Innate immunity"
3,"Animal science","Immunology","Lymphoid system "
3,"Animal science","Immunology","Monoclonal antibodies"
3,"Animal science","Immunology","Mucosal immunity"
3,"Animal science","Immunology","Neuroimmunology"
3,"Animal science","Immunology","Pathogen evasion"
3,"Animal science","Immunology","Repertoire development"
3,"Animal science","Immunology","Reproductive immunology"
3,"Animal science","Immunology","Ruminant immunology"
3,"Animal science","Immunology","Signal transduction (immunology)"
3,"Animal science","Immunology","Signalling (immunology)"
3,"Animal science","Immunology","T cell activation"
3,"Animal science","Immunology","Transplantation"
3,"Animal science","Immunology","Vaccination"
2,"Animal science","Livestock production","Livestock production"
3,"Animal science","Livestock production","Animal breeding"
3,"Animal science","Livestock production","Animal housing"
3,"Animal science","Livestock production","Animal nutrition"
3,"Animal science","Livestock production","Livestock genetics"
3,"Animal science","Livestock production","Livestock management"
3,"Animal science","Livestock production","Livestock production"
3,"Animal science","Livestock production","Production system husbandry"
3,"Animal science","Livestock production","Slaughter"
3,"Animal science","Livestock production","Stocking density"
3,"Animal science","Livestock production","Transport of livestock"
2,"Animal science","Musculoskeletal system","Musculoskeletal system"
3,"Animal science","Musculoskeletal system","Biomechanics"
3,"Animal science","Musculoskeletal system","Bone formation"
3,"Animal science","Musculoskeletal system","Bones"
3,"Animal science","Musculoskeletal system","Cartilage"
3,"Animal science","Musculoskeletal system","Epithileal structures"
3,"Animal science","Musculoskeletal system","Excitation-contraction coupling"
3,"Animal science","Musculoskeletal system","Ligaments"
3,"Animal science","Musculoskeletal system","Locomotion"
3,"Animal science","Musculoskeletal system","Muscles"
3,"Animal science","Musculoskeletal system","Musculoskeletal development"
3,"Animal science","Musculoskeletal system","Musculoskeletal system"
3,"Animal science","Musculoskeletal system","Osteoclasts in tissue"
3,"Animal science","Musculoskeletal system","Osteocytes in tissue"
3,"Animal science","Musculoskeletal system","Spinal column"
3,"Animal science","Musculoskeletal system","Tendons"
2,"Animal science","Parasitology ","Parasitology "
3,"Animal science","Parasitology ","Host symbiont interactions (animals)"
3,"Animal science","Parasitology ","Host-pathogen interactions (animals)"
3,"Animal science","Parasitology ","Hosts"
3,"Animal science","Parasitology ","Parasite biology"
3,"Animal science","Parasitology ","Parasite physiology"
3,"Animal science","Parasitology ","Parasite reproduction"
3,"Animal science","Parasitology ","Parasitic life cycles"
3,"Animal science","Parasitology ","Parasitology "
2,"Animal science","Psychology","Psychology"
3,"Animal science","Psychology","Aggression"
3,"Animal science","Psychology","Attention"
3,"Animal science","Psychology","Awareness"
3,"Animal science","Psychology","Behaviour"
3,"Animal science","Psychology","Cognition"
3,"Animal science","Psychology","Consciousness"
3,"Animal science","Psychology","Consumer behaviour"
3,"Animal science","Psychology","Decision making (humans)"
3,"Animal science","Psychology","Developmental psychology"
3,"Animal science","Psychology","Emotion"
3,"Animal science","Psychology","Executive control"
3,"Animal science","Psychology","Experimental psychology"
3,"Animal science","Psychology","Human performance"
3,"Animal science","Psychology","Imitation"
3,"Animal science","Psychology","Language"
3,"Animal science","Psychology","Learning"
3,"Animal science","Psychology","Memory"
3,"Animal science","Psychology","Mood"
3,"Animal science","Psychology","Neuropsychology"
3,"Animal science","Psychology","Perception"
3,"Animal science","Psychology","Priming"
3,"Animal science","Psychology","Psychology"
3,"Animal science","Psychology","Psychology of Communication"
3,"Animal science","Psychology","Psychophysics"
3,"Animal science","Psychology","Recognitions (human)"
3,"Animal science","Psychology","Reward"
3,"Animal science","Psychology","Senses"
3,"Animal science","Psychology","Sensorimotors"
3,"Animal science","Psychology","Social cognition"
3,"Animal science","Psychology","Visual cortex"
3,"Animal science","Psychology","Visual perception"
2,"Animal science","Systems neuroscience ","Systems neuroscience "
3,"Animal science","Systems neuroscience ","Audition"
3,"Animal science","Systems neuroscience ","Basal ganglia"
3,"Animal science","Systems neuroscience ","Brain"
3,"Animal science","Systems neuroscience ","Cerebellum"
3,"Animal science","Systems neuroscience ","Cerebral cortex"
3,"Animal science","Systems neuroscience ","Cognition"
3,"Animal science","Systems neuroscience ","Computational Neuroscience"
3,"Animal science","Systems neuroscience ","Extracellular matrix"
3,"Animal science","Systems neuroscience ","Glial cell"
3,"Animal science","Systems neuroscience ","Hearing"
3,"Animal science","Systems neuroscience ","Hippocampus"
3,"Animal science","Systems neuroscience ","Hypothalamus"
3,"Animal science","Systems neuroscience ","Memory"
3,"Animal science","Systems neuroscience ","Modelling"
3,"Animal science","Systems neuroscience ","Motor systems"
3,"Animal science","Systems neuroscience ","Neocortex"
3,"Animal science","Systems neuroscience ","Nerves"
3,"Animal science","Systems neuroscience ","Nervous system"
3,"Animal science","Systems neuroscience ","Neural networks"
3,"Animal science","Systems neuroscience ","Neural stem cells"
3,"Animal science","Systems neuroscience ","Neuroanatomy"
3,"Animal science","Systems neuroscience ","Neurobiology"
3,"Animal science","Systems neuroscience ","Neurocomputing"
3,"Animal science","Systems neuroscience ","Neurodegeneration"
3,"Animal science","Systems neuroscience ","Neurodevelopment"
3,"Animal science","Systems neuroscience ","Neuroimaging"
3,"Animal science","Systems neuroscience ","Neuronal culture"
3,"Animal science","Systems neuroscience ","Neuronal network"
3,"Animal science","Systems neuroscience ","Neurons / Neurones"
3,"Animal science","Systems neuroscience ","Neuropeptides"
3,"Animal science","Systems neuroscience ","Neurophysiology"
3,"Animal science","Systems neuroscience ","Neurotransmitter receptors"
3,"Animal science","Systems neuroscience ","Neurotransmitters"
3,"Animal science","Systems neuroscience ","Pain"
3,"Animal science","Systems neuroscience ","Perception"
3,"Animal science","Systems neuroscience ","Psychophysics"
3,"Animal science","Systems neuroscience ","Sensorimotors"
3,"Animal science","Systems neuroscience ","Sensory receptors"
3,"Animal science","Systems neuroscience ","Somatosensory system"
3,"Animal science","Systems neuroscience ","Speech / Vocalisation"
3,"Animal science","Systems neuroscience ","Spinal cord"
3,"Animal science","Systems neuroscience ","Synapses"
3,"Animal science","Systems neuroscience ","Synaptic plasticity"
3,"Animal science","Systems neuroscience ","Synaptic signalling"
3,"Animal science","Systems neuroscience ","Synaptic transmission"
3,"Animal science","Systems neuroscience ","Systems neuroscience "
3,"Animal science","Systems neuroscience ","Vestibular system"
3,"Animal science","Systems neuroscience ","Vision system"
1,"Archaeology",NA,"Archaeology"
2,"Archaeology","Archaeological Theory","Archaeological Theory"
2,"Archaeology","Archaeology Of Human Origins","Archaeology Of Human Origins"
2,"Archaeology","Archaeology Of Literate Societies","Archaeology Of Literate Societies"
2,"Archaeology","Industrial Archaeology","Industrial Archaeology"
2,"Archaeology","Landscape & Environmental Archaeology","Landscape & Environmental Archaeology"
2,"Archaeology","Maritime Archaeology","Maritime Archaeology"
2,"Archaeology","Palaeobiology","Palaeobiology"
2,"Archaeology","Prehistoric Archaeology","Prehistoric Archaeology"
2,"Archaeology","Quaternary Science","Quaternary Science"
2,"Archaeology","Science-Based Archaeology","Science-Based Archaeology"
1,"Astronomy - observation",NA,"Astronomy - observation"
2,"Astronomy - observation","Astronomy & Space Science Technologies","Astronomy & Space Science Technologies"
2,"Astronomy - observation","Data Handling & Storage","Data Handling & Storage"
2,"Astronomy - observation","Extra-Galactic Astronomy & Cosmology","Extra-Galactic Astronomy & Cosmology"
2,"Astronomy - observation","Galactic & Interstellar Astronomy","Galactic & Interstellar Astronomy"
2,"Astronomy - observation","Instrumentation for Particle Physics Or Astronomy","Instrumentation for Particle Physics Or Astronomy"
2,"Astronomy - observation","Stellar Astronomy","Stellar Astronomy"
1,"Astronomy - theory",NA,"Astronomy - theory"
2,"Astronomy - theory","Computational Methods and Tools","Computational Methods and Tools"
2,"Astronomy - theory","Extra-Galactic Astronomy & Cosmology","Extra-Galactic Astronomy & Cosmology"
2,"Astronomy - theory","Galactic & Interstellar Astronomy","Galactic & Interstellar Astronomy"
2,"Astronomy - theory","Stellar Astronomy","Stellar Astronomy"
1,"Atmospheric physics and chemistry",NA,"Atmospheric physics and chemistry"
2,"Atmospheric physics and chemistry","Atmospheric Kinetics","Atmospheric Kinetics"
2,"Atmospheric physics and chemistry","Boundary Layer Meteorology","Boundary Layer Meteorology"
2,"Atmospheric physics and chemistry","Land - Atmosphere Interactions","Land - Atmosphere Interactions"
2,"Atmospheric physics and chemistry","Large Scale Dynamics/Transport","Large Scale Dynamics/Transport"
2,"Atmospheric physics and chemistry","Ocean - Atmosphere Interactions","Ocean - Atmosphere Interactions"
2,"Atmospheric physics and chemistry","Radiative Processes & Effects","Radiative Processes & Effects"
2,"Atmospheric physics and chemistry","Stratospheric Processes","Stratospheric Processes"
2,"Atmospheric physics and chemistry","Tropospheric Processes","Tropospheric Processes"
2,"Atmospheric physics and chemistry","Upper Atmosphere Processes & Geospace","Upper Atmosphere Processes & Geospace"
2,"Atmospheric physics and chemistry","Water In The Atmosphere","Water In The Atmosphere"
1,"Atomic and molecular physics",NA,"Atomic and molecular physics"
2,"Atomic and molecular physics","Atoms and Ions","Atoms and Ions"
3,"Atomic and molecular physics","Atoms and Ions","Antihydrogen and Exotic Atoms"
3,"Atomic and molecular physics","Atoms and Ions","Atoms in Strong Static Fields"
3,"Atomic and molecular physics","Atoms and Ions","Non-adiabatic transitions"
3,"Atomic and molecular physics","Atoms and Ions","Orbital Angular Momentum"
3,"Atomic and molecular physics","Atoms and Ions","Quantum Electrodynamics (QED)"
3,"Atomic and molecular physics","Atoms and Ions","Relatavistic Atomic Physics"
2,"Atomic and molecular physics","Cold Atomic Species","Cold Atomic Species"
3,"Atomic and molecular physics","Cold Atomic Species","Atom Lasers"
3,"Atomic and molecular physics","Cold Atomic Species","Atomic Interferometry"
3,"Atomic and molecular physics","Cold Atomic Species","Bose-Einstein Condensation  "
3,"Atomic and molecular physics","Cold Atomic Species","Cold Atoms and Applications"
3,"Atomic and molecular physics","Cold Atomic Species","Collisions of Cold Species"
3,"Atomic and molecular physics","Cold Atomic Species","Degenerate Fermi Gases"
3,"Atomic and molecular physics","Cold Atomic Species","Laser Cooling and Trapping"
2,"Atomic and molecular physics","Fusion","Fusion"
3,"Atomic and molecular physics","Fusion","Fusion - Computational"
3,"Atomic and molecular physics","Fusion","Fusion - Engineering"
3,"Atomic and molecular physics","Fusion","Fusion - Experimental"
3,"Atomic and molecular physics","Fusion","Fusion - Instrumentation"
3,"Atomic and molecular physics","Fusion","Fusion - Materials"
3,"Atomic and molecular physics","Fusion","Fusion - Modelling/Simulation"
3,"Atomic and molecular physics","Fusion","Fusion - Theoretical"
3,"Atomic and molecular physics","Fusion","Fusion - Waste Generation"
3,"Atomic and molecular physics","Fusion","Magnetic Confinement Fusion"
3,"Atomic and molecular physics","Fusion","Neutron Damage of Materials"
3,"Atomic and molecular physics","Fusion","Nuclear Reactions in Blankets"
3,"Atomic and molecular physics","Fusion","Nuclear Reactions in Materials"
3,"Atomic and molecular physics","Fusion","Plasma - Diagnostics"
3,"Atomic and molecular physics","Fusion","Plasma - Magneto-hydrodynamics"
3,"Atomic and molecular physics","Fusion","Plasma/Beam Interactions"
3,"Atomic and molecular physics","Fusion","Plasma/Materials Interaction"
3,"Atomic and molecular physics","Fusion","Plasma/Microwave Interactions"
3,"Atomic and molecular physics","Fusion","Turbulence in Fusion Plasmas"
2,"Atomic and molecular physics","Light-Matter Interactions","Light-Matter Interactions"
3,"Atomic and molecular physics","Light-Matter Interactions","Atom-intense Laser Interaction"
3,"Atomic and molecular physics","Light-Matter Interactions","Atom-light Interactions"
3,"Atomic and molecular physics","Light-Matter Interactions","Atoms/Molecules in High Fields"
3,"Atomic and molecular physics","Light-Matter Interactions","Coherent Atomic Media"
3,"Atomic and molecular physics","Light-Matter Interactions","Coherent Control"
3,"Atomic and molecular physics","Light-Matter Interactions","Laser Trapping"
3,"Atomic and molecular physics","Light-Matter Interactions","Optical Spanners"
3,"Atomic and molecular physics","Light-Matter Interactions","Optical Traps "
3,"Atomic and molecular physics","Light-Matter Interactions","Optics - Atom"
3,"Atomic and molecular physics","Light-Matter Interactions","Quantum Chaology "
