"location","type","plot_size","display_order","parent","region","fractal_order","transect_order","centroid_x","centroid_y","source","bbox_xmin","bbox_ymin","bbox_xmax","bbox_ymax","wkt_wgs84"
"A_12","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.654981,4.713062,"SAFE_core_sampling_stations_WGS84.shp",117.654981,4.713062,117.654981,4.713062,"SRID=4326;POINT (117.655 4.713062)"
"A_13","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.652993,4.708927,"SAFE_core_sampling_stations_WGS84.shp",117.652993,4.708927,117.652993,4.708927,"SRID=4326;POINT (117.653 4.708927)"
"A_14","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.652508,4.709023,"SAFE_core_sampling_stations_WGS84.shp",117.652508,4.709023,117.652508,4.709023,"SRID=4326;POINT (117.6525 4.709023)"
"A_15","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.652673,4.708589,"SAFE_core_sampling_stations_WGS84.shp",117.652673,4.708589,117.652673,4.708589,"SRID=4326;POINT (117.6527 4.708589)"
"A_16","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.654316,4.708664,"SAFE_core_sampling_stations_WGS84.shp",117.654316,4.708664,117.654316,4.708664,"SRID=4326;POINT (117.6543 4.708664)"
"A_17","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.653824,4.70876,"SAFE_core_sampling_stations_WGS84.shp",117.653824,4.70876,117.653824,4.70876,"SRID=4326;POINT (117.6538 4.70876)"
"A_18","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.653988,4.708321,"SAFE_core_sampling_stations_WGS84.shp",117.653988,4.708321,117.653988,4.708321,"SRID=4326;POINT (117.654 4.708321)"
"A_19","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.656531,4.708223,"SAFE_core_sampling_stations_WGS84.shp",117.656531,4.708223,117.656531,4.708223,"SRID=4326;POINT (117.6565 4.708223)"
"A_20","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.656697,4.707789,"SAFE_core_sampling_stations_WGS84.shp",117.656697,4.707789,117.656697,4.707789,"SRID=4326;POINT (117.6567 4.707789)"
"A_21","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.65702,4.708128,"SAFE_core_sampling_stations_WGS84.shp",117.65702,4.708128,117.65702,4.708128,"SRID=4326;POINT (117.657 4.708128)"
"A_22","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.658336,4.707867,"SAFE_core_sampling_stations_WGS84.shp",117.658336,4.707867,117.658336,4.707867,"SRID=4326;POINT (117.6583 4.707867)"
"A_23","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.657849,4.707962,"SAFE_core_sampling_stations_WGS84.shp",117.657849,4.707962,117.657849,4.707962,"SRID=4326;POINT (117.6578 4.707962)"
"A_24","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.658015,4.707523,"SAFE_core_sampling_stations_WGS84.shp",117.658015,4.707523,117.658015,4.707523,"SRID=4326;POINT (117.658 4.707523)"
"A_25","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.651307,4.71035,"SAFE_core_sampling_stations_WGS84.shp",117.651307,4.71035,117.651307,4.71035,"SRID=4326;POINT (117.6513 4.71035)"
"A_26","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.651478,4.709886,"SAFE_core_sampling_stations_WGS84.shp",117.651478,4.709886,117.651478,4.709886,"SRID=4326;POINT (117.6515 4.709886)"
"A_27","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.651763,4.710253,"SAFE_core_sampling_stations_WGS84.shp",117.651763,4.710253,117.651763,4.710253,"SRID=4326;POINT (117.6518 4.710253)"
"A_28","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.65084,4.711615,"SAFE_core_sampling_stations_WGS84.shp",117.65084,4.711615,117.65084,4.711615,"SRID=4326;POINT (117.6508 4.711615)"
"A_29","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.651304,4.711514,"SAFE_core_sampling_stations_WGS84.shp",117.651304,4.711514,117.651304,4.711514,"SRID=4326;POINT (117.6513 4.711514)"
"A_30","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.651016,4.711146,"SAFE_core_sampling_stations_WGS84.shp",117.651016,4.711146,117.651016,4.711146,"SRID=4326;POINT (117.651 4.711146)"
"A_31","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.650346,4.714126,"SAFE_core_sampling_stations_WGS84.shp",117.650346,4.714126,117.650346,4.714126,"SRID=4326;POINT (117.6503 4.714126)"
"A_32","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.649888,4.714224,"SAFE_core_sampling_stations_WGS84.shp",117.649888,4.714224,117.649888,4.714224,"SRID=4326;POINT (117.6499 4.714224)"
"A_33","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.650062,4.713757,"SAFE_core_sampling_stations_WGS84.shp",117.650062,4.713757,117.650062,4.713757,"SRID=4326;POINT (117.6501 4.713757)"
"A_34","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.649885,4.715388,"SAFE_core_sampling_stations_WGS84.shp",117.649885,4.715388,117.649885,4.715388,"SRID=4326;POINT (117.6499 4.715388)"
"A_35","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.649423,4.715483,"SAFE_core_sampling_stations_WGS84.shp",117.649423,4.715483,117.649423,4.715483,"SRID=4326;POINT (117.6494 4.715483)"
"A_36","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.649597,4.715018,"SAFE_core_sampling_stations_WGS84.shp",117.649597,4.715018,117.649597,4.715018,"SRID=4326;POINT (117.6496 4.715018)"
"A_37","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.65121,4.708441,"SAFE_core_sampling_stations_WGS84.shp",117.65121,4.708441,117.65121,4.708441,"SRID=4326;POINT (117.6512 4.708441)"
"A_38","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.650886,4.708068,"SAFE_core_sampling_stations_WGS84.shp",117.650886,4.708068,117.650886,4.708068,"SRID=4326;POINT (117.6509 4.708068)"
"A_39","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.650752,4.708513,"SAFE_core_sampling_stations_WGS84.shp",117.650752,4.708513,117.650752,4.708513,"SRID=4326;POINT (117.6508 4.708513)"
"A_40","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.650002,4.70705,"SAFE_core_sampling_stations_WGS84.shp",117.650002,4.70705,117.650002,4.70705,"SRID=4326;POINT (117.65 4.70705)"
"A_41","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.649867,4.707505,"SAFE_core_sampling_stations_WGS84.shp",117.649867,4.707505,117.649867,4.707505,"SRID=4326;POINT (117.6499 4.707505)"
"A_42","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.650329,4.707429,"SAFE_core_sampling_stations_WGS84.shp",117.650329,4.707429,117.650329,4.707429,"SRID=4326;POINT (117.6503 4.707429)"
"A_43","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.648193,4.704969,"SAFE_core_sampling_stations_WGS84.shp",117.648193,4.704969,117.648193,4.704969,"SRID=4326;POINT (117.6482 4.704969)"
"A_44","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.648059,4.705418,"SAFE_core_sampling_stations_WGS84.shp",117.648059,4.705418,117.648059,4.705418,"SRID=4326;POINT (117.6481 4.705418)"
"A_45","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.648519,4.705347,"SAFE_core_sampling_stations_WGS84.shp",117.648519,4.705347,117.648519,4.705347,"SRID=4326;POINT (117.6485 4.705347)"
"A_46","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.647313,4.703956,"SAFE_core_sampling_stations_WGS84.shp",117.647313,4.703956,117.647313,4.703956,"SRID=4326;POINT (117.6473 4.703956)"
"A_47","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.647174,4.704406,"SAFE_core_sampling_stations_WGS84.shp",117.647174,4.704406,117.647174,4.704406,"SRID=4326;POINT (117.6472 4.704406)"
"A_48","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.647637,4.704332,"SAFE_core_sampling_stations_WGS84.shp",117.647637,4.704332,117.647637,4.704332,"SRID=4326;POINT (117.6476 4.704332)"
"A_580","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,1,117.651338,4.708681,"SAFE_core_sampling_stations_WGS84.shp",117.651338,4.708681,117.651338,4.708681,"SRID=4326;POINT (117.6513 4.708681)"
"A_581","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,2,117.652218,4.709694,"SAFE_core_sampling_stations_WGS84.shp",117.652218,4.709694,117.652218,4.709694,"SRID=4326;POINT (117.6522 4.709694)"
"A_582","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,3,117.654037,4.711779,"SAFE_core_sampling_stations_WGS84.shp",117.654037,4.711779,117.654037,4.711779,"SRID=4326;POINT (117.654 4.711779)"
"A_583","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,4,117.654913,4.712791,"SAFE_core_sampling_stations_WGS84.shp",117.654913,4.712791,117.654913,4.712791,"SRID=4326;POINT (117.6549 4.712791)"
"A_584","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,1,117.652724,4.708854,"SAFE_core_sampling_stations_WGS84.shp",117.652724,4.708854,117.652724,4.708854,"SRID=4326;POINT (117.6527 4.708854)"
"A_585","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,2,117.65404,4.708593,"SAFE_core_sampling_stations_WGS84.shp",117.65404,4.708593,117.65404,4.708593,"SRID=4326;POINT (117.654 4.708593)"
"A_586","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,3,117.656753,4.70805,"SAFE_core_sampling_stations_WGS84.shp",117.656753,4.70805,117.656753,4.70805,"SRID=4326;POINT (117.6568 4.70805)"
"A_587","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,4,117.658067,4.707792,"SAFE_core_sampling_stations_WGS84.shp",117.658067,4.707792,117.658067,4.707792,"SRID=4326;POINT (117.6581 4.707792)"
"A_588","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,1,117.65151,4.710158,"SAFE_core_sampling_stations_WGS84.shp",117.65151,4.710158,117.65151,4.710158,"SRID=4326;POINT (117.6515 4.710158)"
"A_589","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,2,117.651045,4.711417,"SAFE_core_sampling_stations_WGS84.shp",117.651045,4.711417,117.651045,4.711417,"SRID=4326;POINT (117.651 4.711417)"
"A_590","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,3,117.650094,4.714037,"SAFE_core_sampling_stations_WGS84.shp",117.650094,4.714037,117.650094,4.714037,"SRID=4326;POINT (117.6501 4.714037)"
"A_591","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,4,117.649628,4.715293,"SAFE_core_sampling_stations_WGS84.shp",117.649628,4.715293,117.649628,4.715293,"SRID=4326;POINT (117.6496 4.715293)"
"A_592","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,1,117.650957,4.708337,"SAFE_core_sampling_stations_WGS84.shp",117.650957,4.708337,117.650957,4.708337,"SRID=4326;POINT (117.651 4.708337)"
"A_593","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,2,117.650077,4.707324,"SAFE_core_sampling_stations_WGS84.shp",117.650077,4.707324,117.650077,4.707324,"SRID=4326;POINT (117.6501 4.707324)"
"A_594","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,3,117.648258,4.705239,"SAFE_core_sampling_stations_WGS84.shp",117.648258,4.705239,117.648258,4.705239,"SRID=4326;POINT (117.6483 4.705239)"
"A_595","SAFE Sampling point","25m x 25m",7,null,"SAFE",2,4,117.647381,4.704227,"SAFE_core_sampling_stations_WGS84.shp",117.647381,4.704227,117.647381,4.704227,"SRID=4326;POINT (117.6474 4.704227)"
"A_773","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,1,117.651769,4.709143,"SAFE_core_sampling_stations_WGS84.shp",117.651769,4.709143,117.651769,4.709143,"SRID=4326;POINT (117.6518 4.709143)"
"A_774","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,3,117.654468,4.71224,"SAFE_core_sampling_stations_WGS84.shp",117.654468,4.71224,117.654468,4.71224,"SRID=4326;POINT (117.6545 4.71224)"
"A_775","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,1,117.653353,4.708697,"SAFE_core_sampling_stations_WGS84.shp",117.653353,4.708697,117.653353,4.708697,"SRID=4326;POINT (117.6534 4.708697)"
"A_776","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,3,117.657384,4.707902,"SAFE_core_sampling_stations_WGS84.shp",117.657384,4.707902,117.657384,4.707902,"SRID=4326;POINT (117.6574 4.707902)"
"A_777","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,1,117.651299,4.710757,"SAFE_core_sampling_stations_WGS84.shp",117.651299,4.710757,117.651299,4.710757,"SRID=4326;POINT (117.6513 4.710757)"
"A_778","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,3,117.649914,4.714625,"SAFE_core_sampling_stations_WGS84.shp",117.649914,4.714625,117.649914,4.714625,"SRID=4326;POINT (117.6499 4.714625)"
"A_779","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,1,117.650516,4.707837,"SAFE_core_sampling_stations_WGS84.shp",117.650516,4.707837,117.650516,4.707837,"SRID=4326;POINT (117.6505 4.707837)"
"A_780","SAFE Sampling point","25m x 25m",7,null,"SAFE",3,3,117.647816,4.70474,"SAFE_core_sampling_stations_WGS84.shp",117.647816,4.70474,117.647816,4.70474,"SRID=4326;POINT (117.6478 4.70474)"
"A_856","SAFE Sampling point","25m x 25m",7,null,"SAFE",4,2,117.6531,4.710686,"SAFE_core_sampling_stations_WGS84.shp",117.6531,4.710686,117.6531,4.710686,"SRID=4326;POINT (117.6531 4.710686)"
"A_857","SAFE Sampling point","25m x 25m",7,null,"SAFE",4,2,117.654684,4.708449,"SAFE_core_sampling_stations_WGS84.shp",117.654684,4.708449,117.654684,4.708449,"SRID=4326;POINT (117.6547 4.708449)"
"A_858","SAFE Sampling point","25m x 25m",7,null,"SAFE",4,2,117.650588,4.712669,"SAFE_core_sampling_stations_WGS84.shp",117.650588,4.712669,117.650588,4.712669,"SRID=4326;POINT (117.6506 4.712669)"
"A_859","SAFE Sampling point","25m x 25m",7,null,"SAFE",4,2,117.649194,4.706284,"SAFE_core_sampling_stations_WGS84.shp",117.649194,4.706284,117.649194,4.706284,"SRID=4326;POINT (117.6492 4.706284)"
"B_49","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.61851,4.730977,"SAFE_core_sampling_stations_WGS84.shp",117.61851,4.730977,117.61851,4.730977,"SRID=4326;POINT (117.6185 4.730977)"
"B_50","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.618876,4.731263,"SAFE_core_sampling_stations_WGS84.shp",117.618876,4.731263,117.618876,4.731263,"SRID=4326;POINT (117.6189 4.731263)"
"B_51","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.618928,4.730772,"SAFE_core_sampling_stations_WGS84.shp",117.618928,4.730772,117.618928,4.730772,"SRID=4326;POINT (117.6189 4.730772)"
"B_52","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.619015,4.729929,"SAFE_core_sampling_stations_WGS84.shp",117.619015,4.729929,117.619015,4.729929,"SRID=4326;POINT (117.619 4.729929)"
"B_53","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.61907,4.729431,"SAFE_core_sampling_stations_WGS84.shp",117.61907,4.729431,117.61907,4.729431,"SRID=4326;POINT (117.6191 4.729431)"
"B_54","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.618645,4.729642,"SAFE_core_sampling_stations_WGS84.shp",117.618645,4.729642,117.618645,4.729642,"SRID=4326;POINT (117.6186 4.729642)"
"B_55","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.61936,4.726689,"SAFE_core_sampling_stations_WGS84.shp",117.61936,4.726689,117.61936,4.726689,"SRID=4326;POINT (117.6194 4.726689)"
"B_56","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.619305,4.727185,"SAFE_core_sampling_stations_WGS84.shp",117.619305,4.727185,117.619305,4.727185,"SRID=4326;POINT (117.6193 4.727185)"
"B_57","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.61894,4.726897,"SAFE_core_sampling_stations_WGS84.shp",117.61894,4.726897,117.61894,4.726897,"SRID=4326;POINT (117.6189 4.726897)"
"B_58","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.619501,4.725355,"SAFE_core_sampling_stations_WGS84.shp",117.619501,4.725355,117.619501,4.725355,"SRID=4326;POINT (117.6195 4.725355)"
"B_59","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.619077,4.72556,"SAFE_core_sampling_stations_WGS84.shp",117.619077,4.72556,117.619077,4.72556,"SRID=4326;POINT (117.6191 4.72556)"
"B_60","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.619447,4.725848,"SAFE_core_sampling_stations_WGS84.shp",117.619447,4.725848,117.619447,4.725848,"SRID=4326;POINT (117.6194 4.725848)"
"B_61","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.619604,4.729784,"SAFE_core_sampling_stations_WGS84.shp",117.619604,4.729784,117.619604,4.729784,"SRID=4326;POINT (117.6196 4.729784)"
"B_62","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.619996,4.730034,"SAFE_core_sampling_stations_WGS84.shp",117.619996,4.730034,117.619996,4.730034,"SRID=4326;POINT (117.62 4.730034)"
"B_63","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.61955,4.730244,"SAFE_core_sampling_stations_WGS84.shp",117.61955,4.730244,117.61955,4.730244,"SRID=4326;POINT (117.6196 4.730244)"
"B_64","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.620816,4.729207,"SAFE_core_sampling_stations_WGS84.shp",117.620816,4.729207,117.620816,4.729207,"SRID=4326;POINT (117.6208 4.729207)"
"B_65","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.620763,4.729672,"SAFE_core_sampling_stations_WGS84.shp",117.620763,4.729672,117.620763,4.729672,"SRID=4326;POINT (117.6208 4.729672)"
"B_66","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.621217,4.72946,"SAFE_core_sampling_stations_WGS84.shp",117.621217,4.72946,117.621217,4.72946,"SRID=4326;POINT (117.6212 4.72946)"
"B_67","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.623274,4.728481,"SAFE_core_sampling_stations_WGS84.shp",117.623274,4.728481,117.623274,4.728481,"SRID=4326;POINT (117.6233 4.728481)"
"B_68","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.623331,4.728019,"SAFE_core_sampling_stations_WGS84.shp",117.623331,4.728019,117.623331,4.728019,"SRID=4326;POINT (117.6233 4.728019)"
"B_69","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.623726,4.728271,"SAFE_core_sampling_stations_WGS84.shp",117.623726,4.728271,117.623726,4.728271,"SRID=4326;POINT (117.6237 4.728271)"
"B_70","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.624491,4.727909,"SAFE_core_sampling_stations_WGS84.shp",117.624491,4.727909,117.624491,4.727909,"SRID=4326;POINT (117.6245 4.727909)"
"B_71","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.624941,4.7277,"SAFE_core_sampling_stations_WGS84.shp",117.624941,4.7277,117.624941,4.7277,"SRID=4326;POINT (117.6249 4.7277)"
"B_72","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.624546,4.727443,"SAFE_core_sampling_stations_WGS84.shp",117.624546,4.727443,117.624546,4.727443,"SRID=4326;POINT (117.6245 4.727443)"
"B_73","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.617637,4.729713,"SAFE_core_sampling_stations_WGS84.shp",117.617637,4.729713,117.617637,4.729713,"SRID=4326;POINT (117.6176 4.729713)"
"B_74","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.618042,4.729995,"SAFE_core_sampling_stations_WGS84.shp",117.618042,4.729995,117.618042,4.729995,"SRID=4326;POINT (117.618 4.729995)"
"B_75","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.617616,4.730178,"SAFE_core_sampling_stations_WGS84.shp",117.617616,4.730178,117.617616,4.730178,"SRID=4326;POINT (117.6176 4.730178)"
"B_76","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.61651,4.729417,"SAFE_core_sampling_stations_WGS84.shp",117.61651,4.729417,117.61651,4.729417,"SRID=4326;POINT (117.6165 4.729417)"
"B_77","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.616529,4.728943,"SAFE_core_sampling_stations_WGS84.shp",117.616529,4.728943,117.616529,4.728943,"SRID=4326;POINT (117.6165 4.728943)"
"B_78","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,2,117.616939,4.729231,"SAFE_core_sampling_stations_WGS84.shp",117.616939,4.729231,117.616939,4.729231,"SRID=4326;POINT (117.6169 4.729231)"
"B_79","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.614246,4.727837,"SAFE_core_sampling_stations_WGS84.shp",117.614246,4.727837,117.614246,4.727837,"SRID=4326;POINT (117.6142 4.727837)"
"B_80","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.614674,4.727655,"SAFE_core_sampling_stations_WGS84.shp",117.614674,4.727655,117.614674,4.727655,"SRID=4326;POINT (117.6147 4.727655)"
"B_81","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,3,117.614266,4.727369,"SAFE_core_sampling_stations_WGS84.shp",117.614266,4.727369,117.614266,4.727369,"SRID=4326;POINT (117.6143 4.727369)"
"B_82","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.613165,4.726603,"SAFE_core_sampling_stations_WGS84.shp",117.613165,4.726603,117.613165,4.726603,"SRID=4326;POINT (117.6132 4.726603)"
"B_83","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.613571,4.726888,"SAFE_core_sampling_stations_WGS84.shp",117.613571,4.726888,117.613571,4.726888,"SRID=4326;POINT (117.6136 4.726888)"
"B_84","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,4,117.61314,4.727073,"SAFE_core_sampling_stations_WGS84.shp",117.61314,4.727073,117.61314,4.727073,"SRID=4326;POINT (117.6131 4.727073)"
"B_85","SAFE Sampling point","25m x 25m",7,null,"SAFE",1,1,117.619055,4.73155,"SAFE_core_sampling_stations_WGS84.shp",117.619055,4.73155,117.619055,4.73155,"SRID=4326;POINT (117.6191 4.73155)"
